baby_id,combined_time,date,time,feeding-side,left_duration_min,right_duration_min,total_feeding_duration_min
baby_1,"6/18/22, 9:49 AM",6/18/22, 9:49 AM,Left,7,,7
baby_1,"3/24/21, 5:59 PM",3/24/21, 5:59 PM,Left,2,,4
baby_1,"3/24/21, 1:55 PM",3/24/21, 1:55 PM,Right,2,2,4
baby_1,"2/28/21, 6:38 PM",2/28/21, 6:38 PM,Left,6,,6
baby_1,"2/28/21, 12:09 PM",2/28/21, 12:09 PM,Both,2,2,4
baby_1,"2/27/21, 6:13 PM",2/27/21, 6:13 PM,Both,2,2,4
baby_1,"2/27/21, 11:33 AM",2/27/21, 11:33 AM,Both,2,2,4
baby_1,"2/26/21, 7:12 PM",2/26/21, 7:12 PM,Both,2,2,4
baby_1,"2/26/21, 3:23 PM",2/26/21, 3:23 PM,Both,2,2,4
baby_1,"2/24/21, 6:41 PM",2/24/21, 6:41 PM,Right,,4,4
baby_1,"2/21/21, 7:33 PM",2/21/21, 7:33 PM,Both,2,2,4
baby_1,"2/21/21, 2:53 PM",2/21/21, 2:53 PM,Both,2,2,4
baby_1,"2/21/21, 12:00 PM",2/21/21, 12:00 PM,Both,2,2,4
baby_1,"2/20/21, 6:04 PM",2/20/21, 6:04 PM,Both,2,2,4
baby_1,"2/20/21, 3:14 PM",2/20/21, 3:14 PM,Both,2,2,4
baby_1,"2/19/21, 7:06 PM",2/19/21, 7:06 PM,Both,2,2,4
baby_1,"2/19/21, 3:41 PM",2/19/21, 3:41 PM,Left,4,,4
baby_1,"2/19/21, 12:37 PM",2/19/21, 12:37 PM,Left,4,,4
baby_1,"2/19/21, 7:35 AM",2/19/21, 7:35 AM,Both,2,2,4
baby_1,"2/18/21, 6:12 PM",2/18/21, 6:12 PM,Right,,3,3
baby_1,"2/17/21, 6:32 PM",2/17/21, 6:32 PM,Left,2,2,4
baby_1,"2/17/21, 2:29 PM",2/17/21, 2:29 PM,Both,2,2,4
baby_1,"2/16/21, 7:35 PM",2/16/21, 7:35 PM,Both,2,2,4
baby_1,"2/16/21, 1:59 PM",2/16/21, 1:59 PM,Both,2,2,4
baby_1,"2/15/21, 5:58 PM",2/15/21, 5:58 PM,Right,,2,2
baby_1,"2/15/21, 1:42 PM",2/15/21, 1:42 PM,Left,6,,6
baby_1,"2/15/21, 6:41 AM",2/15/21, 6:41 AM,Both,2,2,4
baby_1,"2/14/21, 6:54 PM",2/14/21, 6:54 PM,Both,2,2,4
baby_1,"2/14/21, 2:55 PM",2/14/21, 2:55 PM,Both,2,2,4
baby_1,"2/14/21, 11:32 AM",2/14/21, 11:32 AM,Right,,2,2
baby_1,"2/13/21, 7:09 PM",2/13/21, 7:09 PM,Both,2,2,4
baby_1,"2/13/21, 4:01 PM",2/13/21, 4:01 PM,Both,2,2,4
baby_1,"2/13/21, 1:22 PM",2/13/21, 1:22 PM,Left,3,,3
baby_1,"2/13/21, 6:47 AM",2/13/21, 6:47 AM,Both,2,2,4
baby_1,"2/12/21, 5:53 PM",2/12/21, 5:53 PM,Both,2,2,4
baby_1,"2/12/21, 11:18 AM",2/12/21, 11:18 AM,Right,,6,6
baby_1,"2/12/21, 7:21 AM",2/12/21, 7:21 AM,Right,,4,4
baby_1,"2/11/21, 7:32 PM",2/11/21, 7:32 PM,Both,2,2,4
baby_1,"2/11/21, 2:09 PM",2/11/21, 2:09 PM,Both,2,2,4
baby_1,"2/11/21, 5:35 AM",2/11/21, 5:35 AM,Both,2,2,4
baby_1,"2/10/21, 3:47 PM",2/10/21, 3:47 PM,Left,3,,3
baby_1,"2/10/21, 1:55 PM",2/10/21, 1:55 PM,Right,,65,65
baby_1,"2/10/21, 5:25 AM",2/10/21, 5:25 AM,Both,2,2,4
baby_1,"2/9/21, 6:44 PM",2/9/21, 6:44 PM,Right,,7,7
baby_1,"2/9/21, 3:11 PM",2/9/21, 3:11 PM,Left,2,,2
baby_1,"2/9/21, 1:43 PM",2/9/21, 1:43 PM,Right,,5,5
baby_1,"2/8/21, 3:07 PM",2/8/21, 3:07 PM,Both,2,2,4
baby_1,"2/8/21, 1:40 PM",2/8/21, 1:40 PM,Left,3,,3
baby_1,"2/7/21, 7:24 PM",2/7/21, 7:24 PM,Both,2,2,4
baby_1,"2/7/21, 3:32 PM",2/7/21, 3:32 PM,Left,3,,3
baby_1,"2/7/21, 12:09 PM",2/7/21, 12:09 PM,Right,1,4,5
baby_1,"2/6/21, 6:00 PM",2/6/21, 6:00 PM,Both,2,2,4
baby_1,"2/6/21, 2:31 PM",2/6/21, 2:31 PM,Both,2,2,4
baby_1,"2/6/21, 10:33 AM",2/6/21, 10:33 AM,Left,4,,4
baby_1,"2/5/21, 8:00 PM",2/5/21, 8:00 PM,Left,5,,5
baby_1,"2/5/21, 3:22 PM",2/5/21, 3:22 PM,Left,3,,3
baby_1,"2/5/21, 1:01 PM",2/5/21, 1:01 PM,Right,,3,3
baby_1,"2/5/21, 7:20 AM",2/5/21, 7:20 AM,Left,4,,4
baby_1,"2/4/21, 6:52 PM",2/4/21, 6:52 PM,Right,,3,3
baby_1,"2/4/21, 3:50 PM",2/4/21, 3:50 PM,Both,2,2,4
baby_1,"2/4/21, 1:41 PM",2/4/21, 1:41 PM,Right,,3,3
baby_1,"2/4/21, 5:18 AM",2/4/21, 5:18 AM,Both,2,2,4
baby_1,"2/3/21, 7:20 PM",2/3/21, 7:20 PM,Both,3,3,6
baby_1,"2/3/21, 5:05 PM",2/3/21, 5:05 PM,Left,1,2,3
baby_1,"2/3/21, 1:36 PM",2/3/21, 1:36 PM,Left,6,,6
baby_1,"2/2/21, 7:17 PM",2/2/21, 7:17 PM,Left,5,,5
baby_1,"2/2/21, 3:21 PM",2/2/21, 3:21 PM,Left,3,,3
baby_1,"2/2/21, 1:40 PM",2/2/21, 1:40 PM,Right,,5,5
baby_1,"2/1/21, 6:48 PM",2/1/21, 6:48 PM,Right,,2,2
baby_1,"2/1/21, 1:33 PM",2/1/21, 1:33 PM,Right,,4,4
baby_1,"2/1/21, 5:29 AM",2/1/21, 5:29 AM,Right,,4,4
baby_1,"1/31/21, 7:09 PM",1/31/21, 7:09 PM,Both,3,3,6
baby_1,"1/31/21, 1:49 PM",1/31/21, 1:49 PM,Left,4,,4
baby_1,"1/30/21, 7:25 PM",1/30/21, 7:25 PM,Left,3,,3
baby_1,"1/30/21, 12:30 PM",1/30/21, 12:30 PM,Right,,3,3
baby_1,"1/30/21, 11:41 AM",1/30/21, 11:41 AM,Left,,1,1
baby_1,"1/30/21, 8:14 AM",1/30/21, 8:14 AM,Right,,6,6
baby_1,"1/29/21, 7:05 PM",1/29/21, 7:05 PM,Right,,2,2
baby_1,"1/29/21, 3:32 PM",1/29/21, 3:32 PM,Left,3,,3
baby_1,"1/29/21, 1:37 PM",1/29/21, 1:37 PM,Right,,5,5
baby_1,"1/29/21, 4:55 AM",1/29/21, 4:55 AM,Left,3,3,6
baby_1,"1/28/21, 7:28 PM",1/28/21, 7:28 PM,Right,,3,3
baby_1,"1/28/21, 3:57 PM",1/28/21, 3:57 PM,Left,5,,5
baby_1,"1/28/21, 1:32 PM",1/28/21, 1:32 PM,Right,1,3,4
baby_1,"1/27/21, 7:09 PM",1/27/21, 7:09 PM,Left,2,,2
baby_1,"1/27/21, 4:04 PM",1/27/21, 4:04 PM,Left,2,,2
baby_1,"1/27/21, 1:49 PM",1/27/21, 1:49 PM,Left,3,1,4
baby_1,"1/26/21, 7:17 PM",1/26/21, 7:17 PM,Right,1,3,4
baby_1,"1/26/21, 3:00 PM",1/26/21, 3:00 PM,Left,3,,3
baby_1,"1/26/21, 1:51 PM",1/26/21, 1:51 PM,Right,,4,4
baby_1,"1/25/21, 6:23 PM",1/25/21, 6:23 PM,Right,1,3,4
baby_1,"1/25/21, 2:42 PM",1/25/21, 2:42 PM,Right,,2,2
baby_1,"1/25/21, 12:50 PM",1/25/21, 12:50 PM,Left,1,2,3
baby_1,"1/25/21, 10:31 AM",1/25/21, 10:31 AM,Left,3,,3
baby_1,"1/25/21, 5:59 AM",1/25/21, 5:59 AM,Right,,3,3
