baby_id,combined_time,date,time,total_sleep_min
baby_1,"4/17/23, 10:25 AM",4/17/23, 10:25 AM,260
baby_1,"4/12/23, 9:15 AM",4/12/23, 9:15 AM,7270
baby_1,"1/25/23, 9:20 AM",1/25/23, 9:20 AM,3196
baby_1,"12/19/22, 10:23 AM",12/19/22, 10:23 AM,1344
baby_1,"12/14/22, 9:30 AM",12/14/22, 9:30 AM,1421
baby_1,"12/6/22, 10:08 AM",12/6/22, 10:08 AM,1468
baby_1,"10/19/22, 9:05 AM",10/19/22, 9:05 AM,132
baby_1,"10/18/22, 8:44 PM",10/18/22, 8:44 PM,500
baby_1,"10/5/22, 9:47 AM",10/5/22, 9:47 AM,67
baby_1,"10/3/22, 11:00 AM",10/3/22, 11:00 AM,85
baby_1,"10/2/22, 11:31 AM",10/2/22, 11:31 AM,87
baby_1,"10/1/22, 9:45 AM",10/1/22, 9:45 AM,74
baby_1,"9/22/22, 10:04 AM",9/22/22, 10:04 AM,99
baby_1,"9/14/22, 10:24 AM",9/14/22, 10:24 AM,1738
baby_1,"9/10/22, 10:12 AM",9/10/22, 10:12 AM,49
baby_1,"9/9/22, 10:55 AM",9/9/22, 10:55 AM,87
baby_1,"9/7/22, 10:17 AM",9/7/22, 10:17 AM,67
baby_1,"9/6/22, 10:09 AM",9/6/22, 10:09 AM,63
baby_1,"9/5/22, 9:30 AM",9/5/22, 9:30 AM,73
baby_1,"9/4/22, 12:18 PM",9/4/22, 12:18 PM,63
baby_1,"9/3/22, 10:33 AM",9/3/22, 10:33 AM,1127
baby_1,"8/31/22, 10:04 AM",8/31/22, 10:04 AM,116
baby_1,"8/30/22, 9:24 AM",8/30/22, 9:24 AM,134
baby_1,"8/29/22, 4:55 PM",8/29/22, 4:55 PM,743
baby_1,"8/28/22, 9:23 AM",8/28/22, 9:23 AM,146
baby_1,"8/27/22, 5:14 PM",8/27/22, 5:14 PM,647
baby_1,"8/27/22, 8:31 AM",8/27/22, 8:31 AM,143
baby_1,"8/24/22, 8:45 AM",8/24/22, 8:45 AM,46
baby_1,"8/23/22, 10:15 AM",8/23/22, 10:15 AM,76
baby_1,"8/22/22, 6:17 PM",8/22/22, 6:17 PM,552
baby_1,"8/22/22, 10:13 AM",8/22/22, 10:13 AM,85
baby_1,"8/21/22, 5:23 PM",8/21/22, 5:23 PM,622
baby_1,"8/21/22, 10:35 AM",8/21/22, 10:35 AM,45
baby_1,"8/20/22, 9:29 AM",8/20/22, 9:29 AM,72
baby_1,"8/19/22, 9:59 AM",8/19/22, 9:59 AM,87
baby_1,"8/18/22, 9:38 AM",8/18/22, 9:38 AM,61
baby_1,"8/17/22, 10:12 AM",8/17/22, 10:12 AM,108
baby_1,"8/16/22, 9:32 AM",8/16/22, 9:32 AM,89
baby_1,"8/15/22, 10:24 AM",8/15/22, 10:24 AM,127
baby_1,"8/14/22, 8:48 AM",8/14/22, 8:48 AM,16
baby_1,"8/13/22, 10:02 AM",8/13/22, 10:02 AM,75
baby_1,"8/12/22, 9:33 AM",8/12/22, 9:33 AM,151
baby_1,"8/11/22, 9:32 AM",8/11/22, 9:32 AM,136
